"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AT6PZIIB","journalArticle","2013","Fandakova, Yana; Shing, Yee Lee; Lindenberger, Ulman","Differences in binding and monitoring mechanisms contribute to lifespan age differences in false memory.","Developmental Psychology","","1939-0599, 0012-1649","10.1037/a0031361","http://doi.apa.org/getdoi.cfm?doi=10.1037/a0031361","Based on a 2-component framework of episodic memory development across the lifespan (Shing & Lindenberger, 2011), we examined the contribution of memory-related binding and monitoring processes to false memory susceptibility in childhood and old age. We administered a repeated continuous recognition task to children (N ϭ 20, 10 –12 years), younger adults (N ϭ 20, 20 –27 years), and older adults (N ϭ 21, 68 –76 years). Participants saw the same set of unrelated word pairs in 3 consecutive runs and their task was to identify pair reoccurrences within runs. Across runs, correct detection of repeated pairs decreased in children only, whereas false recognition of lure pairs showed a greater increase in older adults than in children or younger adults. False recognition of rearranged pairs decreased across runs for all participants. This decrease was most pronounced in children, in particular for high-confidence memory errors. We conclude that memory binding mechanisms are sufficiently developed in children to facilitate memory monitoring and reduce false memory for associative information. In contrast, older adults show senescent impairments in both binding and monitoring mechanisms that both contribute to elevated illusory recollections in old age. We conclude that binding and monitoring processes during memory performance follow different developmental trajectories from childhood to old age.","2013","2022-03-23 11:59:55","2022-03-23 11:59:55","2022-03-23 11:59:55","1822-1832","","10","49","","Developmental Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\VGZVYLA5\Fandakova et al. - 2013 - Differences in binding and monitoring mechanisms c.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMF94VLG","journalArticle","2017","Fandakova, Yana; Selmeczy, Diana; Leckey, Sarah; Grimm, Kevin J.; Wendelken, Carter; Bunge, Silvia A.; Ghetti, Simona","Changes in ventromedial prefrontal and insular cortex support the development of metamemory from childhood into adolescence","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.1703079114","https://pnas.org/doi/full/10.1073/pnas.1703079114","Significance             Metamemory monitoring, or the ability to introspect about the accuracy of our memories, improves during childhood and is intimately connected with learning because it limits memory errors and can promote additional information gathering or review. However, the neural changes underlying this development and its relevance for general intellectual development are largely unknown. We assessed 7- to 15-year-old children on multiple occasions and showed continued longitudinal improvements in introspection on memory accuracy into adolescence. We demonstrated that introspection ability contributes to longitudinal changes in children’s general intelligence and identified specific patterns of developmental changes in brain anatomy that predicted improvements in metamemory monitoring. This research highlights the mechanisms supporting metamemory development and their critical role for learning.           ,                             Metamemory monitoring, or the ability to introspect on the accuracy of one’s memories, improves considerably during childhood, but the underlying neural changes and implications for intellectual development are largely unknown. The present study examined whether cortical changes in key brain areas hypothesized to support metacognition contribute to the development of metamemory monitoring from late childhood into early adolescence. Metamemory monitoring was assessed among 7- to 12-y-old children (               n               = 145) and adults (               n               = 31). Children returned for up to two additional assessments at 8 to 14 y of age (               n               = 120) and at 9 to 15 y of age (               n               = 107) (               n               = 347 longitudinal scans). Results showed that metamemory monitoring continues to improve from childhood into adolescence. More pronounced cortical thinning in the anterior insula and a greater increase in the thickness of the ventromedial prefrontal cortex over the three assessment points predicted these improvements. Thus, performance benefits are linked to the unique patterns of regional cortical change during development. Metamemory monitoring at the first time point predicted intelligence at the third time point and vice versa, suggesting parallel development of these abilities and their reciprocal influence. Together, these results provide insights into the neuroanatomical correlates supporting the development of the capacity to self-reflect, and highlight the role of this capacity for general intellectual development.","2017-07-18","2022-03-23 11:59:57","2022-03-23 11:59:57","2022-03-23 11:59:57","7582-7587","","29","114","","Proc. Natl. Acad. Sci. U.S.A.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\RJPP4Y48\Fandakova et al. - 2017 - Changes in ventromedial prefrontal and insular cor.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUP4VV78","journalArticle","2018","Fandakova, Yana; Bunge, Silvia A; Wendelken, Carter; Desautels, Peter; Hunter, Lauren; Lee, Joshua K; Ghetti, Simona","The Importance of Knowing When You Don't Remember: Neural Signaling of Retrieval Failure Predicts Memory Improvement Over Time","Cerebral Cortex","","1047-3211, 1460-2199","10.1093/cercor/bhw352","https://academic.oup.com/cercor/article/28/1/90/2567083","Just as the ability to remember prior events is critical for guiding our decision-making, so too is the ability to recognize the limitations of our memory. Indeed, we hypothesize that neural signaling of retrieval failure promotes more accurate memory judgments over time. To test this hypothesis, we collected longitudinal functional magnetic resonance imaging data from 8 to 9 years olds, 10 to 12 years olds, and adults, with two time points spaced approximately 1.4 years apart (198 scan sessions in total). Participants performed an episodic memory retrieval task in which they could either select a response or report uncertainty about the target memory detail. Children who engaged anterior insula more strongly during inaccurate or uncertain responses exhibited greater longitudinal increases in anterior prefrontal cortex activation for decisions to report uncertainty; both of these neural variables predicted improvements in episodic memory. Together, the results suggest that the brain processes supporting effective cognitive control and decision-making continue to develop in middle childhood and play an important role for memory development.","2018-01-01","2022-03-23 12:00:00","2022-03-23 12:00:00","2022-03-23 12:00:00","90-102","","1","28","","","The Importance of Knowing When You Don't Remember","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\88ZADE9H\Fandakova et al. - 2018 - The Importance of Knowing When You Don't Remember.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBIPE5CY","journalArticle","2019","Fandakova, Yana; Leckey, Sarah; Driver, Charles C.; Bunge, Silvia A.; Ghetti, Simona","Neural specificity of scene representations is related to memory performance in childhood","NeuroImage","","10538119","10.1016/j.neuroimage.2019.05.050","https://linkinghub.elsevier.com/retrieve/pii/S1053811919304422","Successful memory encoding is supported by medial temporal, retrosplenial, and occipital regions, which show developmental differences in recruitment from childhood to adulthood. However, little is known about the extent to which neural specificity in these brain regions, or the distinctiveness with which sensory information is represented, continues to develop during middle childhood and how it contributes to memory performance. The present study used multivariate pattern analysis to examine the distinctiveness of different scene representations in 169 children and 31 adults, and its relation to memory performance. Most children provided data over up to three measurement occasions between 8 and 15 years (267 total scans), allowing us to examine changes in memory and neural specificity over time. Memory performance was lower in children than in adults, and increased in children over time. Different scenes presented during memory encoding could be reliably decoded from parahippocampal, lateral occipital, and retrosplenial regions in children and adults. Neural specificity in children was similar to adults, and did not change reliably over time. Among children, higher neural specificity in sceneprocessing regions was associated with better memory concurrently. These results suggest that the distinctiveness with which incoming information is represented is important for memory performance in childhood, but other processes operating on these representations support developmental improvements in memory performance over time.","2019-10","2022-03-23 12:00:02","2022-03-23 12:00:02","2022-03-23 12:00:02","105-113","","","199","","NeuroImage","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\VZDC8HMM\Fandakova et al. - 2019 - Neural specificity of scene representations is rel.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KURSFQPP","journalArticle","2000","Farrant, Kate; Reese, Elaine","Maternal Style and Children's Participation in Reminiscing: Stepping Stones in Children's Autobiographical Memory Development","Journal of Cognition and Development","","1524-8372, 1532-7647","10.1207/S15327647JCD010203","http://www.tandfonline.com/doi/abs/10.1207/S15327647JCD010203","","2000-05","2022-03-23 12:00:04","2022-03-23 12:00:04","2022-03-23 12:00:04","193-225","","2","1","","Journal of Cognition and Development","Maternal Style and Children's Participation in Reminiscing","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\4JLB6NFH\Farrant and Reese - 2000 - Maternal Style and Children's Participation in Rem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8G7KQIU","journalArticle","1999","Farrar, M.Jeffrey; Boyer-Pennington, Michelle E.","Remembering Specific Episodes of a Scripted Event","Journal of Experimental Child Psychology","","00220965","10.1006/jecp.1999.2507","https://linkinghub.elsevier.com/retrieve/pii/S0022096599925079","","1999-08","2022-03-23 12:00:06","2022-03-23 12:00:06","2022-03-23 12:00:06","266-288","","4","73","","Journal of Experimental Child Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\U4VBM8JX\Farrar and Boyer-Pennington - 1999 - Remembering Specific Episodes of a Scripted Event.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MWZJYI9","journalArticle","2008","Fazio, Lisa K.; Marsh, Elizabeth J.","Older, not younger, children learn more false facts from stories","Cognition","","00100277","10.1016/j.cognition.2007.04.012","https://linkinghub.elsevier.com/retrieve/pii/S0010027707001199","Early school-aged children listened to stories that contained correct and incorrect facts. All ages answered more questions correctly after having heard the correct fact in the story. Only the older children, however, produced story errors on a later general knowledge test. Source errors did not drive the increased suggestibility in older children, as they were better at remembering source than were the younger children. Instead, diﬀerent processes are involved in learning correct and incorrect facts from ﬁctional sources. All ages beneﬁted from hearing correct answers because they activated a pre-existing semantic network. Older children, however, were better able to form memories of the misinformation and thus showed greater suggestibility on the general knowledge test.","2008-02","2022-03-23 12:00:08","2022-03-23 12:00:08","2022-03-23 12:00:08","1081-1089","","2","106","","Cognition","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\T7JWT7S7\Fazio and Marsh - 2008 - Older, not younger, children learn more false fact.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KK4FCR2M","journalArticle","2019","Finn, Amy S.; Kharitonova, Maria; Holtby, Natalie; Sheridan, Margaret A.","Prefrontal and Hippocampal Structure Predict Statistical Learning Ability in Early Childhood","Journal of Cognitive Neuroscience","","0898-929X, 1530-8898","10.1162/jocn_a_01342","https://direct.mit.edu/jocn/article/31/1/126-137/28977","Statistical learning can be used to gain sensitivity to many important regularities in our environment, including structure that is foundational to language and visual perception. As yet, little is known about how statistical learning takes place in the human brain, especially in children's developing brains and with regard to the broader neurobiology of learning and memory. We therefore explored the relationship between statistical learning and the thickness and volume of structures that are traditionally implicated in declarative and procedural memory, focusing specifically on the left inferior PFC, the hippocampus, and the caudate during early childhood (ages 5–8.5 years). We found that the thickness of the left inferior frontal cortex and volume of the right hippocampus predicted statistical learning ability in young children. Importantly, these regions did not change in thickness or volume with age, but the relationship between learning and the right hippocampus interacted with age such that older children's hippocampal structure more strongly predicted performance. Overall, the data show that children's statistical learning is supported by multiple neural structures that are more broadly implicated in learning and memory, especially declarative memory (hippocampus) and attention/top–down control (the PFC).","2019-01","2022-03-23 12:00:11","2022-03-23 12:00:11","2022-03-23 12:00:11","126-137","","1","31","","Journal of Cognitive Neuroscience","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\ZBFXPP7U\Finn et al. - 2019 - Prefrontal and Hippocampal Structure Predict Stati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ZSXSBT4","journalArticle","2007","Fischer, Stefan; Wilhelm, Ines; Born, Jan","Developmental Differences in Sleep's Role for Implicit Off-line Learning: Comparing Children with Adults","Journal of Cognitive Neuroscience","","0898-929X, 1530-8898","10.1162/jocn.2007.19.2.214","https://direct.mit.edu/jocn/article/19/2/214/4290/Developmental-Differences-in-Sleep-s-Role-for","Abstract             Sleep crucially contributes to the off-line consolidation of memories. Although this view was confirmed in numerous studies in adults, it is not known whether it can be generalized to sleep during development. Here, we examined effects of sleep on implicit memory formation considered of particular relevance in children, because brain structures underlying implicit learning develop earlier in ontogeny than structures supporting explicit learning. Subjects were 7- to 11-year-old children (n = 14) and 20- to 30-year-old adults (n = 12) tested on a serial reaction time task before (learning) and after (retest) equal length retention periods of overnight sleep and daytime wakefulness. At learning, after eight training blocks, all subjects had acquired implicit knowledge of the probabilistic rules underlying the sequential stimulus materials, as indicated by a substantial difference in response time to grammatical versus nongrammatical trials in two test blocks that followed the training blocks. At learning, this response time difference was greater in children (48.49 ± 6.08 msec) than adults (28.02 ± 3.65 msec, p &lt; .01), but did not differ between sleep and wake retention conditions in either age group. Consistent with previous studies, retesting in the adults revealed that the reaction time differences between grammatical and nongrammatical trials increased by 9.78 ± 4.82 msec after sleep, but decreased by −12.76 ± 5.49 msec after the wake retention period (p &lt; .01). Contrary to this finding in adults, sleep in children did not lead to an increase, but to a decrease in the reaction time difference averaging −26.68 ± 12.25 msec (p &lt; .05), whereas across the wake retention interval the reaction time difference remained nearly unchanged. The sleep-dependent deterioration in measures of implicit sequence knowledge in children was in striking contrast to the gain of such knowledge in the adults during sleep (p &lt; .01). Our findings indicate that the functional role of sleep in implicit memory consolidation depends on age. We speculate that the overnight decrease of implicit knowledge in children reflects a preferential effect of sleep toward the enhancement of explicit aspects of task performance that interferes with implicit performance gains.","2007-02-01","2022-03-23 12:00:13","2022-03-23 12:00:13","2022-03-23 12:00:13","214-227","","2","19","","","Developmental Differences in Sleep's Role for Implicit Off-line Learning","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\L2RQ7R8U\Fischer et al. - 2007 - Developmental Differences in Sleep's Role for Impl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHKXDCJU","journalArticle","2005","Fisher, Anna V.; Sloutsky, Vladimir M.","When Induction Meets Memory: Evidence for Gradual Transition From Similarity-Based to Category-Based Induction","Child Development","","0009-3920, 1467-8624","10.1111/j.1467-8624.2005.00865.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8624.2005.00865.x","","2005-05","2022-03-23 12:00:15","2022-03-23 12:00:15","2022-03-23 12:00:15","583-597","","3","76","","Child Development","When Induction Meets Memory","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\ZB36EWGT\Fisher and Sloutsky - 2005 - When Induction Meets Memory Evidence for Gradual .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VC7AWB3Y","journalArticle","2011","Fisher, Anna V.; Matlen, Bryan J.; Godwin, Karrie E.","Semantic similarity of labels and inductive generalization: Taking a second look","Cognition","","00100277","10.1016/j.cognition.2010.12.008","https://linkinghub.elsevier.com/retrieve/pii/S0010027710003008","Prior research suggests that preschoolers can generalize object properties based on category information conveyed by semantically-similar labels. However, previous research did not control for co-occurrence probability of labels in natural speech. The current studies re-assessed children’s generalization with semantically-similar labels. Experiment 1 indicated that adults made category-based inferences regardless of co-occurrence probability; however, 4-year-olds generalized with semantically-similar labels that co-occurred in child-directed speech (e.g., bunny–rabbit) but not with non-co-occurring labels (e.g., crocodile–alligator). Experiment 2 indicated that generalization with semantically-similar labels increased gradually between 4- and 6-years of age. These results are discussed in relation to theories of early learning.","2011-03","2022-03-23 12:00:17","2022-03-23 12:00:17","2022-03-23 12:00:17","432-438","","3","118","","Cognition","Semantic similarity of labels and inductive generalization","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\CK3JXWFS\Fisher et al. - 2011 - Semantic similarity of labels and inductive genera.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C666WHAE","journalArticle","2011","Fisher, Anna V.","Processing of perceptual information is more robust than processing of conceptual information in preschool-age children: Evidence from costs of switching","Cognition","","00100277","10.1016/j.cognition.2011.01.015","https://linkinghub.elsevier.com/retrieve/pii/S0010027711000412","Is processing of conceptual information as robust as processing of perceptual information early in development? Existing empirical evidence is insufﬁcient to answer this question. To examine this issue, 3- to 5-year-old children were presented with a ﬂexible categorization task, in which target items (e.g., an open red umbrella) shared category membership with one test item (e.g., a folded umbrella) and perceptual characteristics with another test item (e.g., a red mushroom). Participants were instructed to either categorize stimuli by the same dimension (i.e., perceptual similarity or category membership) in both phases of the task, or switch from categorizing by one dimension to categorizing by the other dimension. Results pointed to a strong asymmetry in switch costs: conceptual switch costs were higher than perceptual switch costs. These results suggest that processing of perceptual information remains more robust than processing of conceptual information at least until 5 years of age.","2011-05","2022-03-23 12:00:19","2022-03-23 12:00:20","2022-03-23 12:00:19","253-264","","2","119","","Cognition","Processing of perceptual information is more robust than processing of conceptual information in preschool-age children","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\6HA7EJZI\Fisher - 2011 - Processing of perceptual information is more robus.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2QY9YS7","journalArticle","1989","Fivush, Robyn; Hamond, Nina R.","Time and again: Effects of repetition and retention interval on 2 year olds' event recall","Journal of Experimental Child Psychology","","00220965","10.1016/0022-0965(89)90032-5","https://linkinghub.elsevier.com/retrieve/pii/0022096589900325","","1989-04","2022-03-23 12:00:27","2022-03-23 12:00:27","2022-03-23 12:00:27","259-273","","2","47","","Journal of Experimental Child Psychology","Time and again","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\SJ95IHMZ\Fivush and Hamond - 1989 - Time and again Effects of repetition and retentio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGCT66UD","journalArticle","1985","Foley, Mary Ann; Johnson, Marcia K.","Confusions between Memories for Performed and Imagined Actions: A Developmental Comparison","Child Development","","00093920","10.2307/1130229","https://www.jstor.org/stable/1130229?origin=crossref","","1985-10","2022-03-23 12:00:33","2022-03-23 12:00:33","2022-03-23 12:00:33","1145","","5","56","","Child Development","Confusions between Memories for Performed and Imagined Actions","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\HDXBRR2Z\Foley and Johnson - 1985 - Confusions between Memories for Performed and Imag.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TDCPELF","journalArticle","1989","Foley, Mary Ann; Santini, Christine; Sopasakis, Maria","Discriminating between memories: Evidence for children's spontaneous elaborations","Journal of Experimental Child Psychology","","00220965","10.1016/0022-0965(89)90045-3","https://linkinghub.elsevier.com/retrieve/pii/0022096589900453","","1989-08","2022-03-23 12:00:37","2022-03-23 12:00:37","2022-03-23 12:00:37","146-169","","1","48","","Journal of Experimental Child Psychology","Discriminating between memories","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\GQTD43Y7\Foley et al. - 1989 - Discriminating between memories Evidence for chil.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8B8B7VPV","journalArticle","1991","Foley, Mary Ann; Durso, Francis T.; Wilder, Alice; Friedman, Rebecca","Developmental comparisons of explicit versus implicit imagery and reality monitoring","Journal of Experimental Child Psychology","","00220965","10.1016/0022-0965(91)90074-3","https://linkinghub.elsevier.com/retrieve/pii/0022096591900743","","1991-02","2022-03-23 12:00:39","2022-03-23 12:00:39","2022-03-23 12:00:39","1-13","","1","51","","Journal of Experimental Child Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\WK5CTXXA\Foley et al. - 1991 - Developmental comparisons of explicit versus impli.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DMBGMPVM","journalArticle","2011","Friedman, William J.; Reese, Elaine; Dai, Xin","Children's memory for the times of events from the past years","Applied Cognitive Psychology","","08884080","10.1002/acp.1656","https://onlinelibrary.wiley.com/doi/10.1002/acp.1656","This study tested 8–12-year-olds’ ability to localize in time parent-reported events from four time intervals ranging from 6 months to 4 years ago. Memory for content was very accurate, and children’s time estimates showed substantial agreement with the times provided by their parents. Accuracy of year judgments declined with retention interval, with the greatest change occurring between the 1–2-year and 2–3-year intervals. Season, month and time of day accuracy were much more stable over time. There were signiﬁcant improvements with age in performance on measures of conventional time knowledge, and this performance was correlated with the accuracy of time estimates on the long time scales, controlling for age and general cognitive ability. Copyright # 2010 John Wiley & Sons, Ltd.","2011-01","2022-03-23 12:00:48","2022-03-23 12:00:48","2022-03-23 12:00:48","156-165","","1","25","","Appl. Cognit. Psychol.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\AFMSJKGY\Friedman et al. - 2011 - Children's memory for the times of events from the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDWEYTMV","journalArticle","2018","Geng, Fengji; Canada, Kelsey; Riggins, Tracy","Age- and performance-related differences in encoding during early childhood: insights from event-related potentials","Memory","","0965-8211, 1464-0686","10.1080/09658211.2017.1366526","https://www.tandfonline.com/doi/full/10.1080/09658211.2017.1366526","Previous studies have found that children show rapid and significant improvements in their ability to remember individual items and the contextual details that surround these items (i.e., episodic memory) during early childhood. Encoding processes have been suggested to contribute to the development of episodic memory; however, few studies have investigated encoding processes. The goal of the current study was to examine age- and performancerelated effects on encoding in children between 4 and 8 years of age using event-related potentials (ERPs). Results revealed effects of both age and performance on encoding, as indexed by the ERPs response. However, the nature of these effects differed between subsequent recognition and subsequent recollection, as well as for the two ERP components (i.e., Nc and LSW) examined. These findings are important as they contribute empirical evidence that encoding processes show developmental change across early childhood. In addition, these findings highlight the importance of controlling for performance differences in future studies examining developmental changes in episodic memory.","2018-04-21","2022-03-23 12:00:52","2022-03-23 12:00:52","2022-03-23 12:00:52","451-461","","4","26","","Memory","Age- and performance-related differences in encoding during early childhood","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\4FELJ5TL\Geng et al. - 2018 - Age- and performance-related differences in encodi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVBI8XBJ","journalArticle","2019","Geng, Fengji; Redcay, Elizabeth; Riggins, Tracy","The influence of age and performance on hippocampal function and the encoding of contextual information in early childhood","NeuroImage","","10538119","10.1016/j.neuroimage.2019.03.035","https://linkinghub.elsevier.com/retrieve/pii/S1053811919302241","","2019-07","2022-03-23 12:00:54","2022-03-23 12:00:54","2022-03-23 12:00:54","433-443","","","195","","NeuroImage","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\GFBMLR3G\Geng et al. - 2019 - The influence of age and performance on hippocampa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KV9WD35P","journalArticle","1981","Ghatala, Elizabeth S.; Levin, Joel R.","Children's incidental memory for pictures: Item processing versus list organization","Journal of Experimental Child Psychology","","00220965","10.1016/0022-0965(81)90014-X","https://linkinghub.elsevier.com/retrieve/pii/002209658190014X","","1981-04","2022-03-23 12:00:55","2022-03-23 12:00:56","2022-03-23 12:00:55","231-244","","2","31","","Journal of Experimental Child Psychology","Children's incidental memory for pictures","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\5ESJPAER\Ghatala and Levin - 1981 - Children's incidental memory for pictures Item pr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LB7EJ6I6","journalArticle","2002","Ghetti, Simona; Qin, Jianjian; Goodman, Gail S.","False memories in children and adults: Age, distinctiveness, and subjective experience.","Developmental Psychology","","1939-0599, 0012-1649","10.1037/0012-1649.38.5.705","http://doi.apa.org/getdoi.cfm?doi=10.1037/0012-1649.38.5.705","","2002","2022-03-23 12:00:58","2022-03-23 12:00:58","2022-03-23 12:00:58","705-718","","5","38","","Developmental Psychology","False memories in children and adults","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\NXDD7BSQ\Ghetti et al. - 2002 - False memories in children and adults Age, distin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8V6FAHD","journalArticle","2008","Ghetti, Simona; Lyons, Kristen E.; Lazzarin, Federica; Cornoldi, Cesare","The development of metamemory monitoring during retrieval: The case of memory strength and memory absence","Journal of Experimental Child Psychology","","00220965","10.1016/j.jecp.2007.11.001","https://linkinghub.elsevier.com/retrieve/pii/S0022096507001592","This research examined the development of the ability to monitor memory strength and memory absence at retrieval. In two experiments, 7-year-olds, 10-year-olds, and adults enacted and imagined enacting a series of bizarre and common actions. Two weeks later, they completed a memory test in which they were asked to determine whether each action had been enacted, had been imagined, or was novel and to provide a conﬁdence judgment for each response. Results showed that participants across age groups successfully monitored diﬀerences in strength between memories for enacted actions and memories for imagined actions. However, compared with 10-year-olds and adults, 7year-olds exhibited deﬁcits in monitoring of diﬀerences in memory strength among imagined actions as well as deﬁcits in monitoring memory absence. Results underscore metamemory developments that have important implications for memory accuracy.","2008-03","2022-03-23 12:01:00","2022-03-23 12:01:00","2022-03-23 12:01:00","157-181","","3","99","","Journal of Experimental Child Psychology","The development of metamemory monitoring during retrieval","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\T55Z6G4D\Ghetti et al. - 2008 - The development of metamemory monitoring during re.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPIGSY48","journalArticle","2008","Ghetti, Simona; Angelini, Laura","The Development of Recollection and Familiarity in Childhood and Adolescence: Evidence From the Dual-Process Signal Detection Model","Child Development","","0009-3920, 1467-8624","10.1111/j.1467-8624.2007.01129.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8624.2007.01129.x","","2008-03","2022-03-23 12:01:02","2022-03-23 12:01:02","2022-03-23 12:01:02","339-358","","2","79","","Child Development","The Development of Recollection and Familiarity in Childhood and Adolescence","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\REFG3UTK\Ghetti and Angelini - 2008 - The Development of Recollection and Familiarity in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E2DMC6Y","journalArticle","2010","Ghetti, S.; DeMaster, D. M.; Yonelinas, A. P.; Bunge, S. A.","Developmental Differences in Medial Temporal Lobe Function during Memory Encoding","Journal of Neuroscience","","0270-6474, 1529-2401","10.1523/JNEUROSCI.3500-09.2010","https://www.jneurosci.org/lookup/doi/10.1523/JNEUROSCI.3500-09.2010","","2010-07-14","2022-03-23 12:01:07","2022-03-23 12:01:07","2022-03-23 12:01:07","9548-9556","","28","30","","Journal of Neuroscience","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\3GSWD3K5\Ghetti et al. - 2010 - Developmental Differences in Medial Temporal Lobe .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
